,ISBN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,002542730X,0446608890,0804108749,080411109X,0345422317,0385492081,0446602620,0060958022,0451184963,067102423X,0449221490,0553574574,044022103X,0440224675,0440219078,0743436210,0316096199,0060987103,0345370775,0140092323,0679745203
1,006016848X,0446604801,0440193613,055357230X,0345422317,0446612545,0373484224,0385508042,0671011367,0515122734,0380718340,0316781266,055356160X,0743418204,0064472272,051513287X,044651862X,0425158616,0446610038,038550926X,0375727345
2,0060391626,0743436210,0345427637,0425167313,0743225406,0446608890,0671014919,0142000205,0140067477,044651862X,0553280341,0385479565,0374199698,0449223612,0345361792,0743460529,0553277472,0446604801,014100018X,0804105820,0440201926
3,0060392452,0671004107,0425145638,0446532231,0345380371,0804114986,0385484518,0060938455,0446670251,0553275976,015100692X,0441003257,067088300X,0679772677,0804111359,0345370775,0141000198,0375727345,0446359866,0316780375,0345361792
4,0060502258,0743225406,080411109X,0312966970,0312278586,0553280341,1400031354,042511774X,0679744398,0425189031,0375706771,0345342968,0375703055,0312966091,0515131229,0804106304,0671886665,0439064872,0449219364,0515132020,0312195516
5,0060915544,0060921145,0671003755,0060934417,0385265700,1400031354,0449907481,0446516538,0679772677,0553569058,0553250426,067976402X,068484477X,0345438329,0140119906,0446310786,0743418174,0385730586,0385722206,0553268880,0060959037
6,0060921145,0060915544,0375700757,0671003755,0140119906,0671004549,0425163407,0425167313,0425147622,0743437640,014029628X,0060928336,0385721420,0812550706,0449907481,0743460529,0446603589,038550120X,0312195516,0671758896,0375705856
7,0060928336,014029628X,0439139600,0312195516,0060976845,0449212602,0439064872,0385722206,0060987103,0060959037,0312278586,0671041789,0316284955,0375700757,0553260111,0446603589,0440214041,0312305060,0812550706,0142001740,0316666343
8,0060930535,0671038184,0679429220,0375726403,0375706771,0671003755,0380730138,0385484518,0345439104,0316666343,0385720106,067976402X,0316899984,0316601950,0140119906,0553250426,0743437640,0446602620,0140293248,0440222656,0553292722
9,0060934417,0553569058,1400031354,0312195516,0060915544,0060987103,0375726403,0375705856,0345361792,0609804138,067976402X,0316666343,0142001430,0375725784,0767900383,0446672211,0767905180,0312278586,0671027360,0061009059,0070212570
10,0060938455,0064407675,0812550706,0060392452,0449005615,0446532231,0425172546,0449221482,0441569595,0449003787,0380002930,0553280368,0345313860,0385336179,0688177751,0380813815,0316096199,038550926X,055356773X,0345351525,0440193613
11,0060958022,0375703861,0446310786,0671510053,0439139600,0140244824,1573229326,002542730X,044022103X,0425180638,0679745203,0439136350,0671888587,080410526X,0064407675,0064407667,0452282152,0553275976,0671867113,0553574574,0345391055
12,0060959037,0316781266,014028009X,014029628X,0375727345,0142001740,0060928336,0385722206,0312195516,0804114986,0679429220,0312305060,0671027360,0375702709,0385721420,0375705856,0439064872,068484477X,0449223604,0060915544,014023313X
13,0060976845,068484477X,0743225406,0060928336,0316601950,0671708635,0312305060,0385722206,0142000205,0786868716,0440235162,0804108749,0140244824,0345361792,0345369947,0451186362,0425167313,0449219364,0440236703,038572179X,0385505833
14,0060977493,0452260116,0312282990,0142001430,0345387651,0375726403,0553273914,1400031354,0743237188,0375502238,0375703861,0684801523,0452264464,0449907481,0060987561,0140298479,0804106304,0452282829,0679745203,0060915544,0385484518
15,0060987103,0060987529,0375726403,0446675059,0064472272,0064407675,0064407667,0060934417,0385720106,0609804138,0375702709,0385721420,014028009X,1400031354,0425167313,0767900383,0142001740,068484477X,1400034779,0060928336,0345445848
16,0060987529,0060987103,0142001805,0375726403,1400031354,0449212602,0140293248,0767900383,0064472272,0345361792,0316666343,0345438329,0446675059,1400034779,0786868716,1400031362,0380813815,0449005615,0743418174,034541389X,0670892963
17,0060987561,0553289411,0345439104,0671003755,0446672211,0425167313,0804108749,0679744398,0684848783,0743418204,0380730138,0671042572,1573229326,0452264464,0385484518,0671888587,0679745203,0345447840,051512608X,0452282829,0553582526
18,0061009059,0671525743,0671001795,0375706771,0679751521,0446610038,0312980140,0380718340,0312195516,0385505833,0440200563,055357230X,0440414806,0312971346,0312976275,0312966091,1558744150,1400031354,0743225406,055356773X,038550120X
19,006101351X,0385474016,0515130966,0425182878,055356160X,0671525743,0449005615,0515132020,0439136369,051512608X,0345370775,014028009X,0446603589,0345353145,0345378482,0345337662,0425189031,0452282829,0515135062,0425147363,0451184963
20,0061097101,0440236703,0684872153,140003065X,0385484518,0060987103,0385721420,0440226430,014029628X,055321313X,0312278586,0060934417,0440498058,0671693816,0671510053,0142001740,0684801523,0385720106,014023313X,0070212570,0553569058
21,0064400557,0679735909,0380710218,0439136369,0345422317,0439064872,0440176484,0446606189,0451153553,0449221490,0439139600,0345378490,0446603716,0515120618,0440211263,0440498058,0671004549,0553250531,0553272535,044022103X,0064407675
